Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme,Komuna
AAK-PSD KOALICIONI 100% KOSOVË,9269,62.87,Deçan
LIDHJA DEMOKRATIKE E KOSOVËS,3431,23.27,Deçan
LËVIZJA VETËVENDOSJE!,954,6.47,Deçan
PARTIA DEMOKRATIKE E KOSOVËS,687,4.66,Deçan
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,231,1.57,Deçan
PARTIA E ASHKALINJËVE PËR INTEGRIM,32,0.22,Deçan
PARTIA LIBERALE EGJIPTIANE,27,0.18,Deçan
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,22,0.15,Deçan
FJALA,18,0.12,Deçan
PARTIA EUROATLANTIKE E KOSOVËS,12,0.08,Deçan
POKRET ZA GORA,10,0.07,Deçan
GRAÐANSKA İNİCİJATİVA GORE,10,0.07,Deçan
NOVA DEMOKRATSKA STRANKA,9,0.06,Deçan
SRPSKA LISTA,9,0.06,Deçan
PARTIA ROME E BASHKUAR E KOSOVËS,5,0.03,Deçan
STRANKA DEMOKRATSKE AKCIJE,4,0.03,Deçan
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,3,0.02,Deçan
PARTIJA KOSOVSKIH SRBA,2,0.01,Deçan
SLOBODA,2,0.01,Deçan
SAMOSTALNA LIBERALNA STRANKA,2,0.01,Deçan
KOALICIJA VAKAT,2,0.01,Deçan
ESMIR KASI,2,0.01,Deçan
JEDINSTVENA GORANSKA PARTIJA,0,0.0,Deçan
KOSOVA DEMOKRATIK TÜRK PARTISI,0,0.0,Deçan
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Deçan
PARTIA LIBERALE EGJIPTIANE,27,0.21,Dragash
PARTIA DEMOKRATIKE E KOSOVËS,3397,26.85,Dragash
PARTIA E ASHKALINJËVE PËR INTEGRIM,17,0.13,Dragash
STRANKA DEMOKRATSKE AKCIJE,13,0.1,Dragash
PARTIJA KOSOVSKIH SRBA,6,0.05,Dragash
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,5,0.04,Dragash
POKRET ZA GORA,507,4.01,Dragash
NOVA DEMOKRATSKA STRANKA,80,0.63,Dragash
AAK-PSD KOALICIONI 100% KOSOVË,377,2.98,Dragash
SLOBODA,22,0.17,Dragash
SAMOSTALNA LIBERALNA STRANKA,5,0.04,Dragash
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,457,3.61,Dragash
JEDINSTVENA GORANSKA PARTIJA,754,5.96,Dragash
KOALICIJA VAKAT,1267,10.01,Dragash
FJALA,64,0.51,Dragash
LËVIZJA VETËVENDOSJE!,1392,11.0,Dragash
KOSOVA DEMOKRATIK TÜRK PARTISI,7,0.06,Dragash
PARTIA ROME E BASHKUAR E KOSOVËS,5,0.04,Dragash
PARTIA EUROATLANTIKE E KOSOVËS,1,0.01,Dragash
KOSOVAKI NEVI ROMANI PARTIA,1,0.01,Dragash
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,4,0.03,Dragash
ESMIR KASI,4,0.03,Dragash
GRAÐANSKA İNİCİJATİVA GORE,265,2.09,Dragash
LIDHJA DEMOKRATIKE E KOSOVËS,3659,28.92,Dragash
SRPSKA LISTA,317,2.51,Dragash
PARTIA LIBERALE EGJIPTIANE,407,0.84,Ferizaj
PARTIA DEMOKRATIKE E KOSOVËS,12374,25.45,Ferizaj
PARTIA E ASHKALINJËVE PËR INTEGRIM,724,1.49,Ferizaj
STRANKA DEMOKRATSKE AKCIJE,15,0.03,Ferizaj
PARTIJA KOSOVSKIH SRBA,19,0.04,Ferizaj
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,555,1.14,Ferizaj
POKRET ZA GORA,14,0.03,Ferizaj
NOVA DEMOKRATSKA STRANKA,30,0.06,Ferizaj
AAK-PSD KOALICIONI 100% KOSOVË,3204,6.59,Ferizaj
SLOBODA,13,0.03,Ferizaj
SAMOSTALNA LIBERALNA STRANKA,24,0.05,Ferizaj
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,2159,4.44,Ferizaj
JEDINSTVENA GORANSKA PARTIJA,25,0.05,Ferizaj
KOALICIJA VAKAT,49,0.1,Ferizaj
FJALA,114,0.23,Ferizaj
LËVIZJA VETËVENDOSJE!,16682,34.31,Ferizaj
KOSOVA DEMOKRATIK TÜRK PARTISI,12,0.02,Ferizaj
PARTIA ROME E BASHKUAR E KOSOVËS,20,0.04,Ferizaj
PARTIA EUROATLANTIKE E KOSOVËS,35,0.07,Ferizaj
KOSOVAKI NEVI ROMANI PARTIA,5,0.01,Ferizaj
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,6,0.01,Ferizaj
ESMIR KASI,9,0.02,Ferizaj
GRAÐANSKA İNİCİJATİVA GORE,27,0.06,Ferizaj
LIDHJA DEMOKRATIKE E KOSOVËS,12085,24.85,Ferizaj
SRPSKA LISTA,18,0.04,Ferizaj
PARTIA LIBERALE EGJIPTIANE,793,4.63,Fushë Kosovë
PARTIA DEMOKRATIKE E KOSOVËS,3132,18.28,Fushë Kosovë
PARTIA E ASHKALINJËVE PËR INTEGRIM,391,2.28,Fushë Kosovë
STRANKA DEMOKRATSKE AKCIJE,4,0.02,Fushë Kosovë
PARTIJA KOSOVSKIH SRBA,3,0.02,Fushë Kosovë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,196,1.14,Fushë Kosovë
POKRET ZA GORA,2,0.01,Fushë Kosovë
NOVA DEMOKRATSKA STRANKA,4,0.02,Fushë Kosovë
AAK-PSD KOALICIONI 100% KOSOVË,1011,5.9,Fushë Kosovë
SLOBODA,8,0.05,Fushë Kosovë
SAMOSTALNA LIBERALNA STRANKA,7,0.04,Fushë Kosovë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,657,3.84,Fushë Kosovë
JEDINSTVENA GORANSKA PARTIJA,1,0.01,Fushë Kosovë
KOALICIJA VAKAT,5,0.03,Fushë Kosovë
FJALA,56,0.33,Fushë Kosovë
LËVIZJA VETËVENDOSJE!,5019,29.3,Fushë Kosovë
KOSOVA DEMOKRATIK TÜRK PARTISI,11,0.06,Fushë Kosovë
PARTIA ROME E BASHKUAR E KOSOVËS,34,0.2,Fushë Kosovë
PARTIA EUROATLANTIKE E KOSOVËS,32,0.19,Fushë Kosovë
KOSOVAKI NEVI ROMANI PARTIA,1,0.01,Fushë Kosovë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,92,0.54,Fushë Kosovë
ESMIR KASI,1,0.01,Fushë Kosovë
GRAÐANSKA İNİCİJATİVA GORE,13,0.08,Fushë Kosovë
LIDHJA DEMOKRATIKE E KOSOVËS,5275,30.79,Fushë Kosovë
SRPSKA LISTA,383,2.24,Fushë Kosovë
PARTIA LIBERALE EGJIPTIANE,868,2.16,Gjakovë
PARTIA DEMOKRATIKE E KOSOVËS,3646,9.07,Gjakovë
PARTIA E ASHKALINJËVE PËR INTEGRIM,99,0.25,Gjakovë
STRANKA DEMOKRATSKE AKCIJE,11,0.03,Gjakovë
PARTIJA KOSOVSKIH SRBA,6,0.01,Gjakovë
