,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,126. LËVIZJA VETËVENDOSJE!,200.754,"25,55%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,195.296,"24,86%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,166.009,"21,13%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,90.617,"11,53%"
,135. SRPSKA LISTA,52.529,"6,69%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,38.433,"4,89%"
,124. KOALICIJA VAKAT,7.063,"0,90%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,6.495,"0,83%"
,111. PARTIA LIBERALE EGJIPTIANE,4.992,"0,64%"
,118. NOVA DEMOKRATSKA STRANKA,4.062,"0,52%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,3.110,"0,40%"
,125. FJALA,2.992,"0,38%"
,121. SAMOSTALNA LIBERALNA STRANKA,1.906,"0,24%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,1.814,"0,23%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1.556,"0,20%"
,123. JEDINSTVENA GORANSKA PARTIJA,1.140,"0,15%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,1.059,"0,13%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,989,"0,13%"
,114. STRANKA DEMOKRATSKE AKCIJE,838,"0,11%"
,133. GRAÐANSKA İNİCİJATİVA GORE,813,"0,10%"
,117. POKRET ZA GORA,805,"0,10%"
,115. PARTIJA KOSOVSKIH SRBA,789,"0,10%"
,120. SLOBODA,719,"0,09%"
,132. ESMIR KASI,541,"0,07%"
,130. KOSOVAKI NEVI ROMANI PARTIA,276,"0,04%"
