,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,27,"0,21%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,3.397,"26,85%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,17,"0,13%"
,114. STRANKA DEMOKRATSKE AKCIJE,13,"0,10%"
,115. PARTIJA KOSOVSKIH SRBA,06,"0,05%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,05,"0,04%"
,117. POKRET ZA GORA,507,"4,01%"
,118. NOVA DEMOKRATSKA STRANKA,80,"0,63%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,377,"2,98%"
,120. SLOBODA,22,"0,17%"
,121. SAMOSTALNA LIBERALNA STRANKA,05,"0,04%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,457,"3,61%"
,123. JEDINSTVENA GORANSKA PARTIJA,754,"5,96%"
,124. KOALICIJA VAKAT,1.267,"10,01%"
,125. FJALA,64,"0,51%"
,126. LËVIZJA VETËVENDOSJE!,1.392,"11,00%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,07,"0,06%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,05,"0,04%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,01,"0,01%"
,130. KOSOVAKI NEVI ROMANI PARTIA,01,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,04,"0,03%"
,132. ESMIR KASI,04,"0,03%"
,133. GRAÐANSKA İNİCİJATİVA GORE,265,"2,09%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,3.659,"28,92%"
,135. SRPSKA LISTA,317,"2,51%"
