,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,793,"4,63%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,3.132,"18,28%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,391,"2,28%"
,114. STRANKA DEMOKRATSKE AKCIJE,04,"0,02%"
,115. PARTIJA KOSOVSKIH SRBA,03,"0,02%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,196,"1,14%"
,117. POKRET ZA GORA,02,"0,01%"
,118. NOVA DEMOKRATSKA STRANKA,04,"0,02%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,1.011,"5,90%"
,120. SLOBODA,08,"0,05%"
,121. SAMOSTALNA LIBERALNA STRANKA,07,"0,04%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,657,"3,84%"
,123. JEDINSTVENA GORANSKA PARTIJA,01,"0,01%"
,124. KOALICIJA VAKAT,05,"0,03%"
,125. FJALA,56,"0,33%"
,126. LËVIZJA VETËVENDOSJE!,5.019,"29,30%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,11,"0,06%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,34,"0,20%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,32,"0,19%"
,130. KOSOVAKI NEVI ROMANI PARTIA,01,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,92,"0,54%"
,132. ESMIR KASI,01,"0,01%"
,133. GRAÐANSKA İNİCİJATİVA GORE,13,"0,08%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,5.275,"30,79%"
,135. SRPSKA LISTA,383,"2,24%"
