,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,99,"0,22%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,8.177,"17,99%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,17,"0,04%"
,114. STRANKA DEMOKRATSKE AKCIJE,15,"0,03%"
,115. PARTIJA KOSOVSKIH SRBA,09,"0,02%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,77,"0,17%"
,117. POKRET ZA GORA,09,"0,02%"
,118. NOVA DEMOKRATSKA STRANKA,63,"0,14%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,3.238,"7,13%"
,120. SLOBODA,14,"0,03%"
,121. SAMOSTALNA LIBERALNA STRANKA,64,"0,14%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1.565,"3,44%"
,123. JEDINSTVENA GORANSKA PARTIJA,12,"0,03%"
,124. KOALICIJA VAKAT,52,"0,11%"
,125. FJALA,105,"0,23%"
,126. LËVIZJA VETËVENDOSJE!,17.864,"39,31%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,496,"1,09%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,26,"0,06%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,86,"0,19%"
,130. KOSOVAKI NEVI ROMANI PARTIA,03,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,12,"0,03%"
,132. ESMIR KASI,04,"0,01%"
,133. GRAÐANSKA İNİCİJATİVA GORE,26,"0,06%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,12.217,"26,88%"
,135. SRPSKA LISTA,1.195,"2,63%"
