,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,01,"0,01%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,156,"1,70%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,04,"0,04%"
,114. STRANKA DEMOKRATSKE AKCIJE,03,"0,03%"
,115. PARTIJA KOSOVSKIH SRBA,15,"0,16%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,03,"0,03%"
,117. POKRET ZA GORA,01,"0,01%"
,118. NOVA DEMOKRATSKA STRANKA,06,"0,07%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,40,"0,44%"
,120. SLOBODA,170,"1,86%"
,121. SAMOSTALNA LIBERALNA STRANKA,379,"4,14%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,40,"0,44%"
,123. JEDINSTVENA GORANSKA PARTIJA,04,"0,04%"
,124. KOALICIJA VAKAT,06,"0,07%"
,125. FJALA,05,"0,05%"
,126. LËVIZJA VETËVENDOSJE!,159,"1,74%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,01,"0,01%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,12,"0,13%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,00,"0,00%"
,130. KOSOVAKI NEVI ROMANI PARTIA,08,"0,09%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,04,"0,04%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,02,"0,02%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,256,"2,79%"
,135. SRPSKA LISTA,7.887,"86,08%"
