,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,07,"0,20%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,1.032,"29,57%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,01,"0,03%"
,114. STRANKA DEMOKRATSKE AKCIJE,00,"0,00%"
,115. PARTIJA KOSOVSKIH SRBA,00,"0,00%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,03,"0,09%"
,117. POKRET ZA GORA,00,"0,00%"
,118. NOVA DEMOKRATSKA STRANKA,01,"0,03%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,257,"7,36%"
,120. SLOBODA,01,"0,03%"
,121. SAMOSTALNA LIBERALNA STRANKA,02,"0,06%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,303,"8,68%"
,123. JEDINSTVENA GORANSKA PARTIJA,00,"0,00%"
,124. KOALICIJA VAKAT,06,"0,17%"
,125. FJALA,11,"0,32%"
,126. LËVIZJA VETËVENDOSJE!,1.278,"36,62%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,02,"0,06%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,02,"0,06%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,00,"0,00%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,00,"0,00%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,01,"0,03%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,583,"16,70%"
,135. SRPSKA LISTA,00,"0,00%"
