,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,204,"1,12%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,2.324,"12,77%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,24,"0,13%"
,114. STRANKA DEMOKRATSKE AKCIJE,205,"1,13%"
,115. PARTIJA KOSOVSKIH SRBA,02,"0,01%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,16,"0,09%"
,117. POKRET ZA GORA,01,"0,01%"
,118. NOVA DEMOKRATSKA STRANKA,155,"0,85%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,3.383,"18,59%"
,120. SLOBODA,07,"0,04%"
,121. SAMOSTALNA LIBERALNA STRANKA,07,"0,04%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,331,"1,82%"
,123. JEDINSTVENA GORANSKA PARTIJA,02,"0,01%"
,124. KOALICIJA VAKAT,83,"0,46%"
,125. FJALA,51,"0,28%"
,126. LËVIZJA VETËVENDOSJE!,2.344,"12,88%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,02,"0,01%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,10,"0,05%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,36,"0,20%"
,130. KOSOVAKI NEVI ROMANI PARTIA,02,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,360,"1,98%"
,132. ESMIR KASI,02,"0,01%"
,133. GRAÐANSKA İNİCİJATİVA GORE,20,"0,11%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,8.350,"45,88%"
,135. SRPSKA LISTA,280,"1,54%"
