,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,07,"0,35%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,128,"6,38%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,00,"0,00%"
,114. STRANKA DEMOKRATSKE AKCIJE,00,"0,00%"
,115. PARTIJA KOSOVSKIH SRBA,00,"0,00%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,01,"0,05%"
,117. POKRET ZA GORA,00,"0,00%"
,118. NOVA DEMOKRATSKA STRANKA,01,"0,05%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,1.009,"50,32%"
,120. SLOBODA,01,"0,05%"
,121. SAMOSTALNA LIBERALNA STRANKA,00,"0,00%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,48,"2,39%"
,123. JEDINSTVENA GORANSKA PARTIJA,00,"0,00%"
,124. KOALICIJA VAKAT,03,"0,15%"
,125. FJALA,00,"0,00%"
,126. LËVIZJA VETËVENDOSJE!,171,"8,53%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,00,"0,00%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,00,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,02,"0,10%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,00,"0,00%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,01,"0,05%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,632,"31,52%"
,135. SRPSKA LISTA,01,"0,05%"
