,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,57,"0,39%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,4.725,"32,30%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,211,"1,44%"
,114. STRANKA DEMOKRATSKE AKCIJE,04,"0,03%"
,115. PARTIJA KOSOVSKIH SRBA,02,"0,01%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,05,"0,03%"
,117. POKRET ZA GORA,00,"0,00%"
,118. NOVA DEMOKRATSKA STRANKA,41,"0,28%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,822,"5,62%"
,120. SLOBODA,03,"0,02%"
,121. SAMOSTALNA LIBERALNA STRANKA,26,"0,18%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,835,"5,71%"
,123. JEDINSTVENA GORANSKA PARTIJA,01,"0,01%"
,124. KOALICIJA VAKAT,412,"2,82%"
,125. FJALA,31,"0,21%"
,126. LËVIZJA VETËVENDOSJE!,5.010,"34,25%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,03,"0,02%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,01,"0,01%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,13,"0,09%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,02,"0,01%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,05,"0,03%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,2.416,"16,52%"
,135. SRPSKA LISTA,04,"0,03%"
