,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,291,"1,77%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,4.412,"26,77%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,11,"0,07%"
,114. STRANKA DEMOKRATSKE AKCIJE,04,"0,02%"
,115. PARTIJA KOSOVSKIH SRBA,02,"0,01%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,12,"0,07%"
,117. POKRET ZA GORA,03,"0,02%"
,118. NOVA DEMOKRATSKA STRANKA,45,"0,27%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,4.456,"27,03%"
,120. SLOBODA,69,"0,42%"
,121. SAMOSTALNA LIBERALNA STRANKA,09,"0,05%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,808,"4,90%"
,123. JEDINSTVENA GORANSKA PARTIJA,08,"0,05%"
,124. KOALICIJA VAKAT,10,"0,06%"
,125. FJALA,53,"0,32%"
,126. LËVIZJA VETËVENDOSJE!,1.560,"9,46%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,02,"0,01%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,07,"0,04%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,38,"0,23%"
,130. KOSOVAKI NEVI ROMANI PARTIA,02,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,50,"0,30%"
,132. ESMIR KASI,02,"0,01%"
,133. GRAÐANSKA İNİCİJATİVA GORE,09,"0,05%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,4.444,"26,96%"
,135. SRPSKA LISTA,176,"1,07%"
