,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,13,"0,69%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,106,"5,60%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,00,"0,00%"
,114. STRANKA DEMOKRATSKE AKCIJE,01,"0,05%"
,115. PARTIJA KOSOVSKIH SRBA,00,"0,00%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,00,"0,00%"
,117. POKRET ZA GORA,01,"0,05%"
,118. NOVA DEMOKRATSKA STRANKA,00,"0,00%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,44,"2,32%"
,120. SLOBODA,04,"0,21%"
,121. SAMOSTALNA LIBERALNA STRANKA,81,"4,28%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,95,"5,02%"
,123. JEDINSTVENA GORANSKA PARTIJA,01,"0,05%"
,124. KOALICIJA VAKAT,01,"0,05%"
,125. FJALA,04,"0,21%"
,126. LËVIZJA VETËVENDOSJE!,183,"9,67%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,00,"0,00%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,00,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,00,"0,00%"
,130. KOSOVAKI NEVI ROMANI PARTIA,01,"0,05%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,00,"0,00%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,00,"0,00%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,162,"8,56%"
,135. SRPSKA LISTA,1.196,"63,18%"
