,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,08,"0,10%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,72,"0,94%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,03,"0,04%"
,114. STRANKA DEMOKRATSKE AKCIJE,38,"0,50%"
,115. PARTIJA KOSOVSKIH SRBA,469,"6,14%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,04,"0,05%"
,117. POKRET ZA GORA,05,"0,07%"
,118. NOVA DEMOKRATSKA STRANKA,04,"0,05%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,25,"0,33%"
,120. SLOBODA,26,"0,34%"
,121. SAMOSTALNA LIBERALNA STRANKA,21,"0,28%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,53,"0,69%"
,123. JEDINSTVENA GORANSKA PARTIJA,00,"0,00%"
,124. KOALICIJA VAKAT,14,"0,18%"
,125. FJALA,01,"0,01%"
,126. LËVIZJA VETËVENDOSJE!,67,"0,88%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,02,"0,03%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,00,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,00,"0,00%"
,130. KOSOVAKI NEVI ROMANI PARTIA,01,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,05,"0,07%"
,132. ESMIR KASI,01,"0,01%"
,133. GRAÐANSKA İNİCİJATİVA GORE,03,"0,04%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,36,"0,47%"
,135. SRPSKA LISTA,6.777,"88,76%"
