,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,140,"0,51%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,7.099,"25,91%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,482,"1,76%"
,114. STRANKA DEMOKRATSKE AKCIJE,08,"0,03%"
,115. PARTIJA KOSOVSKIH SRBA,08,"0,03%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,142,"0,52%"
,117. POKRET ZA GORA,02,"0,01%"
,118. NOVA DEMOKRATSKA STRANKA,09,"0,03%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,1.384,"5,05%"
,120. SLOBODA,07,"0,03%"
,121. SAMOSTALNA LIBERALNA STRANKA,23,"0,08%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1.549,"5,65%"
,123. JEDINSTVENA GORANSKA PARTIJA,02,"0,01%"
,124. KOALICIJA VAKAT,17,"0,06%"
,125. FJALA,49,"0,18%"
,126. LËVIZJA VETËVENDOSJE!,5.366,"19,58%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,70,"0,26%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,13,"0,05%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,18,"0,07%"
,130. KOSOVAKI NEVI ROMANI PARTIA,02,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,12,"0,04%"
,132. ESMIR KASI,03,"0,01%"
,133. GRAÐANSKA İNİCİJATİVA GORE,18,"0,07%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,10.365,"37,83%"
,135. SRPSKA LISTA,613,"2,24%"
