,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,41,"0,20%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,4.825,"23,50%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,08,"0,04%"
,114. STRANKA DEMOKRATSKE AKCIJE,04,"0,02%"
,115. PARTIJA KOSOVSKIH SRBA,02,"0,01%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,13,"0,06%"
,117. POKRET ZA GORA,00,"0,00%"
,118. NOVA DEMOKRATSKA STRANKA,06,"0,03%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,1.440,"7,01%"
,120. SLOBODA,03,"0,01%"
,121. SAMOSTALNA LIBERALNA STRANKA,16,"0,08%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,7.383,"35,95%"
,123. JEDINSTVENA GORANSKA PARTIJA,09,"0,04%"
,124. KOALICIJA VAKAT,02,"0,01%"
,125. FJALA,58,"0,28%"
,126. LËVIZJA VETËVENDOSJE!,2.652,"12,91%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,11,"0,05%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,00,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,09,"0,04%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,00,"0,00%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,03,"0,01%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,4.044,"19,69%"
,135. SRPSKA LISTA,07,"0,03%"
