,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,04,"0,21%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,343,"17,66%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,02,"0,10%"
,114. STRANKA DEMOKRATSKE AKCIJE,00,"0,00%"
,115. PARTIJA KOSOVSKIH SRBA,00,"0,00%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,02,"0,10%"
,117. POKRET ZA GORA,01,"0,05%"
,118. NOVA DEMOKRATSKA STRANKA,04,"0,21%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,23,"1,18%"
,120. SLOBODA,00,"0,00%"
,121. SAMOSTALNA LIBERALNA STRANKA,00,"0,00%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,120,"6,18%"
,123. JEDINSTVENA GORANSKA PARTIJA,00,"0,00%"
,124. KOALICIJA VAKAT,08,"0,41%"
,125. FJALA,45,"2,32%"
,126. LËVIZJA VETËVENDOSJE!,76,"3,91%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,1.264,"65,09%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,02,"0,10%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,00,"0,00%"
,130. KOSOVAKI NEVI ROMANI PARTIA,04,"0,21%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,00,"0,00%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,00,"0,00%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,41,"2,11%"
,135. SRPSKA LISTA,03,"0,15%"
