,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,466,"1,06%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,4.416,"10,07%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,51,"0,12%"
,114. STRANKA DEMOKRATSKE AKCIJE,316,"0,72%"
,115. PARTIJA KOSOVSKIH SRBA,04,"0,01%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,23,"0,05%"
,117. POKRET ZA GORA,94,"0,21%"
,118. NOVA DEMOKRATSKA STRANKA,456,"1,04%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,11.733,"26,74%"
,120. SLOBODA,13,"0,03%"
,121. SAMOSTALNA LIBERALNA STRANKA,37,"0,08%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,652,"1,49%"
,123. JEDINSTVENA GORANSKA PARTIJA,13,"0,03%"
,124. KOALICIJA VAKAT,474,"1,08%"
,125. FJALA,259,"0,59%"
,126. LËVIZJA VETËVENDOSJE!,9.465,"21,57%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,14,"0,03%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,115,"0,26%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,58,"0,13%"
,130. KOSOVAKI NEVI ROMANI PARTIA,07,"0,02%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,503,"1,15%"
,132. ESMIR KASI,01,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,33,"0,08%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,14.180,"32,32%"
,135. SRPSKA LISTA,488,"1,11%"
