,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,316,"0,52%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,13.161,"21,46%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,203,"0,33%"
,114. STRANKA DEMOKRATSKE AKCIJE,25,"0,04%"
,115. PARTIJA KOSOVSKIH SRBA,08,"0,01%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,53,"0,09%"
,117. POKRET ZA GORA,50,"0,08%"
,118. NOVA DEMOKRATSKA STRANKA,2.819,"4,60%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,3.843,"6,27%"
,120. SLOBODA,17,"0,03%"
,121. SAMOSTALNA LIBERALNA STRANKA,145,"0,24%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,3.210,"5,23%"
,123. JEDINSTVENA GORANSKA PARTIJA,198,"0,32%"
,124. KOALICIJA VAKAT,4.265,"6,95%"
,125. FJALA,340,"0,55%"
,126. LËVIZJA VETËVENDOSJE!,16.160,"26,35%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,3.394,"5,53%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,494,"0,81%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,75,"0,12%"
,130. KOSOVAKI NEVI ROMANI PARTIA,196,"0,32%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,14,"0,02%"
,132. ESMIR KASI,472,"0,77%"
,133. GRAÐANSKA İNİCİJATİVA GORE,129,"0,21%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,11.660,"19,01%"
,135. SRPSKA LISTA,85,"0,14%"
