,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,04,"0,06%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,520,"7,21%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,29,"0,40%"
,114. STRANKA DEMOKRATSKE AKCIJE,00,"0,00%"
,115. PARTIJA KOSOVSKIH SRBA,19,"0,26%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,08,"0,11%"
,117. POKRET ZA GORA,00,"0,00%"
,118. NOVA DEMOKRATSKA STRANKA,00,"0,00%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,56,"0,78%"
,120. SLOBODA,30,"0,42%"
,121. SAMOSTALNA LIBERALNA STRANKA,339,"4,70%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,196,"2,72%"
,123. JEDINSTVENA GORANSKA PARTIJA,17,"0,24%"
,124. KOALICIJA VAKAT,02,"0,03%"
,125. FJALA,07,"0,10%"
,126. LËVIZJA VETËVENDOSJE!,438,"6,07%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,31,"0,43%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,00,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,01,"0,01%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,02,"0,03%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,05,"0,07%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,455,"6,31%"
,135. SRPSKA LISTA,5.054,"70,07%"
