,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,50,"0,20%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,4.445,"17,54%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,96,"0,38%"
,114. STRANKA DEMOKRATSKE AKCIJE,00,"0,00%"
,115. PARTIJA KOSOVSKIH SRBA,02,"0,01%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,94,"0,37%"
,117. POKRET ZA GORA,03,"0,01%"
,118. NOVA DEMOKRATSKA STRANKA,08,"0,03%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,5.317,"20,98%"
,120. SLOBODA,00,"0,00%"
,121. SAMOSTALNA LIBERALNA STRANKA,07,"0,03%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1.728,"6,82%"
,123. JEDINSTVENA GORANSKA PARTIJA,05,"0,02%"
,124. KOALICIJA VAKAT,11,"0,04%"
,125. FJALA,54,"0,21%"
,126. LËVIZJA VETËVENDOSJE!,4.280,"16,88%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,06,"0,02%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,23,"0,09%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,19,"0,07%"
,130. KOSOVAKI NEVI ROMANI PARTIA,09,"0,04%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,05,"0,02%"
,132. ESMIR KASI,03,"0,01%"
,133. GRAÐANSKA İNİCİJATİVA GORE,19,"0,07%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,9.141,"36,06%"
,135. SRPSKA LISTA,24,"0,09%"
