,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,105,"0,33%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,9.023,"28,50%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,23,"0,07%"
,114. STRANKA DEMOKRATSKE AKCIJE,08,"0,03%"
,115. PARTIJA KOSOVSKIH SRBA,02,"0,01%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,16,"0,05%"
,117. POKRET ZA GORA,00,"0,00%"
,118. NOVA DEMOKRATSKA STRANKA,18,"0,06%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,1.444,"4,56%"
,120. SLOBODA,06,"0,02%"
,121. SAMOSTALNA LIBERALNA STRANKA,26,"0,08%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1.545,"4,88%"
,123. JEDINSTVENA GORANSKA PARTIJA,01,"0,00%"
,124. KOALICIJA VAKAT,28,"0,09%"
,125. FJALA,168,"0,53%"
,126. LËVIZJA VETËVENDOSJE!,10.469,"33,06%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,260,"0,82%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,18,"0,06%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,32,"0,10%"
,130. KOSOVAKI NEVI ROMANI PARTIA,03,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,01,"0,00%"
,132. ESMIR KASI,01,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,16,"0,05%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,7.443,"23,51%"
,135. SRPSKA LISTA,1.007,"3,18%"
