,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,04,"0,09%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,134,"2,88%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,00,"0,00%"
,114. STRANKA DEMOKRATSKE AKCIJE,00,"0,00%"
,115. PARTIJA KOSOVSKIH SRBA,17,"0,37%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,00,"0,00%"
,117. POKRET ZA GORA,01,"0,02%"
,118. NOVA DEMOKRATSKA STRANKA,02,"0,04%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,36,"0,77%"
,120. SLOBODA,12,"0,26%"
,121. SAMOSTALNA LIBERALNA STRANKA,16,"0,34%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,14,"0,30%"
,123. JEDINSTVENA GORANSKA PARTIJA,01,"0,02%"
,124. KOALICIJA VAKAT,02,"0,04%"
,125. FJALA,01,"0,02%"
,126. LËVIZJA VETËVENDOSJE!,125,"2,69%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,00,"0,00%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,00,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,01,"0,02%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,00,"0,00%"
,132. ESMIR KASI,01,"0,02%"
,133. GRAÐANSKA İNİCİJATİVA GORE,07,"0,15%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,128,"2,75%"
,135. SRPSKA LISTA,4.151,"89,21%"
