,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,01,"0,02%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,71,"1,58%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,02,"0,04%"
,114. STRANKA DEMOKRATSKE AKCIJE,03,"0,07%"
,115. PARTIJA KOSOVSKIH SRBA,39,"0,87%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,02,"0,04%"
,117. POKRET ZA GORA,03,"0,07%"
,118. NOVA DEMOKRATSKA STRANKA,02,"0,04%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,08,"0,18%"
,120. SLOBODA,16,"0,36%"
,121. SAMOSTALNA LIBERALNA STRANKA,20,"0,45%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,04,"0,09%"
,123. JEDINSTVENA GORANSKA PARTIJA,01,"0,02%"
,124. KOALICIJA VAKAT,03,"0,07%"
,125. FJALA,00,"0,00%"
,126. LËVIZJA VETËVENDOSJE!,54,"1,20%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,00,"0,00%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,00,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,01,"0,02%"
,130. KOSOVAKI NEVI ROMANI PARTIA,01,"0,02%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,01,"0,02%"
,132. ESMIR KASI,01,"0,02%"
,133. GRAÐANSKA İNİCİJATİVA GORE,06,"0,13%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,98,"2,19%"
,135. SRPSKA LISTA,4.148,"92,49%"
