,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,119. AAK-PSD KOALICIONI 100% KOSOVË,9.269,"62,87%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,3.431,"23,27%"
,126. LËVIZJA VETËVENDOSJE!,954,"6,47%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,687,"4,66%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,231,"1,57%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,32,"0,22%"
,111. PARTIA LIBERALE EGJIPTIANE,27,"0,18%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,22,"0,15%"
,125. FJALA,18,"0,12%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,12,"0,08%"
,117. POKRET ZA GORA,10,"0,07%"
,133. GRAÐANSKA İNİCİJATİVA GORE,10,"0,07%"
,118. NOVA DEMOKRATSKA STRANKA,09,"0,06%"
,135. SRPSKA LISTA,09,"0,06%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,05,"0,03%"
,114. STRANKA DEMOKRATSKE AKCIJE,04,"0,03%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,03,"0,02%"
,115. PARTIJA KOSOVSKIH SRBA,02,"0,01%"
,120. SLOBODA,02,"0,01%"
,121. SAMOSTALNA LIBERALNA STRANKA,02,"0,01%"
,124. KOALICIJA VAKAT,02,"0,01%"
,132. ESMIR KASI,02,"0,01%"
,123. JEDINSTVENA GORANSKA PARTIJA,00,"0,00%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,00,"0,00%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
