,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,407,"0,84%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,12.374,"25,45%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,724,"1,49%"
,114. STRANKA DEMOKRATSKE AKCIJE,15,"0,03%"
,115. PARTIJA KOSOVSKIH SRBA,19,"0,04%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,555,"1,14%"
,117. POKRET ZA GORA,14,"0,03%"
,118. NOVA DEMOKRATSKA STRANKA,30,"0,06%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,3.204,"6,59%"
,120. SLOBODA,13,"0,03%"
,121. SAMOSTALNA LIBERALNA STRANKA,24,"0,05%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,2.159,"4,44%"
,123. JEDINSTVENA GORANSKA PARTIJA,25,"0,05%"
,124. KOALICIJA VAKAT,49,"0,10%"
,125. FJALA,114,"0,23%"
,126. LËVIZJA VETËVENDOSJE!,16.682,"34,31%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,12,"0,02%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,20,"0,04%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,35,"0,07%"
,130. KOSOVAKI NEVI ROMANI PARTIA,05,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,06,"0,01%"
,132. ESMIR KASI,09,"0,02%"
,133. GRAÐANSKA İNİCİJATİVA GORE,27,"0,06%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,12.085,"24,85%"
,135. SRPSKA LISTA,18,"0,04%"
