,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,868,"2,16%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,3.646,"9,07%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,99,"0,25%"
,114. STRANKA DEMOKRATSKE AKCIJE,11,"0,03%"
,115. PARTIJA KOSOVSKIH SRBA,06,"0,01%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,38,"0,09%"
,117. POKRET ZA GORA,07,"0,02%"
,118. NOVA DEMOKRATSKA STRANKA,79,"0,20%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,13.888,"34,56%"
,120. SLOBODA,11,"0,03%"
,121. SAMOSTALNA LIBERALNA STRANKA,20,"0,05%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1.126,"2,80%"
,123. JEDINSTVENA GORANSKA PARTIJA,06,"0,01%"
,124. KOALICIJA VAKAT,37,"0,09%"
,125. FJALA,123,"0,31%"
,126. LËVIZJA VETËVENDOSJE!,12.315,"30,64%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,08,"0,02%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,71,"0,18%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,85,"0,21%"
,130. KOSOVAKI NEVI ROMANI PARTIA,15,"0,04%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,401,"1,00%"
,132. ESMIR KASI,07,"0,02%"
,133. GRAÐANSKA İNİCİJATİVA GORE,17,"0,04%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,7.295,"18,15%"
,135. SRPSKA LISTA,09,"0,02%"
