,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,302,"1,35%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,14.555,"65,29%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,18,"0,08%"
,114. STRANKA DEMOKRATSKE AKCIJE,28,"0,13%"
,115. PARTIJA KOSOVSKIH SRBA,23,"0,10%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,09,"0,04%"
,117. POKRET ZA GORA,03,"0,01%"
,118. NOVA DEMOKRATSKA STRANKA,03,"0,01%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,1.582,"7,10%"
,120. SLOBODA,05,"0,02%"
,121. SAMOSTALNA LIBERALNA STRANKA,12,"0,05%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1.733,"7,77%"
,123. JEDINSTVENA GORANSKA PARTIJA,11,"0,05%"
,124. KOALICIJA VAKAT,06,"0,03%"
,125. FJALA,100,"0,45%"
,126. LËVIZJA VETËVENDOSJE!,2.472,"11,09%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,04,"0,02%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,01,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,95,"0,43%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,02,"0,01%"
,132. ESMIR KASI,01,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,02,"0,01%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,1.324,"5,94%"
,135. SRPSKA LISTA,02,"0,01%"
