,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,23,"0,15%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,2.213,"14,52%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,09,"0,06%"
,114. STRANKA DEMOKRATSKE AKCIJE,00,"0,00%"
,115. PARTIJA KOSOVSKIH SRBA,05,"0,03%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,08,"0,05%"
,117. POKRET ZA GORA,02,"0,01%"
,118. NOVA DEMOKRATSKA STRANKA,00,"0,00%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,2.312,"15,17%"
,120. SLOBODA,12,"0,08%"
,121. SAMOSTALNA LIBERALNA STRANKA,18,"0,12%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1.267,"8,31%"
,123. JEDINSTVENA GORANSKA PARTIJA,04,"0,03%"
,124. KOALICIJA VAKAT,09,"0,06%"
,125. FJALA,28,"0,18%"
,126. LËVIZJA VETËVENDOSJE!,4.692,"30,78%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,14,"0,09%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,24,"0,16%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,09,"0,06%"
,130. KOSOVAKI NEVI ROMANI PARTIA,03,"0,02%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,01,"0,01%"
,132. ESMIR KASI,02,"0,01%"
,133. GRAÐANSKA İNİCİJATİVA GORE,11,"0,07%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,3.221,"21,13%"
,135. SRPSKA LISTA,1.355,"8,89%"
