,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,91,"0,29%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,10.676,"34,41%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,37,"0,12%"
,114. STRANKA DEMOKRATSKE AKCIJE,19,"0,06%"
,115. PARTIJA KOSOVSKIH SRBA,06,"0,02%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,90,"0,29%"
,117. POKRET ZA GORA,15,"0,05%"
,118. NOVA DEMOKRATSKA STRANKA,31,"0,10%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,944,"3,04%"
,120. SLOBODA,03,"0,01%"
,121. SAMOSTALNA LIBERALNA STRANKA,03,"0,01%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,873,"2,81%"
,123. JEDINSTVENA GORANSKA PARTIJA,03,"0,01%"
,124. KOALICIJA VAKAT,38,"0,12%"
,125. FJALA,203,"0,65%"
,126. LËVIZJA VETËVENDOSJE!,10.442,"33,66%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,218,"0,70%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,47,"0,15%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,59,"0,19%"
,130. KOSOVAKI NEVI ROMANI PARTIA,03,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,06,"0,02%"
,132. ESMIR KASI,01,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,10,"0,03%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,7.187,"23,17%"
,135. SRPSKA LISTA,17,"0,05%"
