,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,08,"0,09%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,499,"5,69%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,08,"0,09%"
,114. STRANKA DEMOKRATSKE AKCIJE,13,"0,15%"
,115. PARTIJA KOSOVSKIH SRBA,57,"0,65%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,03,"0,03%"
,117. POKRET ZA GORA,22,"0,25%"
,118. NOVA DEMOKRATSKA STRANKA,26,"0,30%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,70,"0,80%"
,120. SLOBODA,51,"0,58%"
,121. SAMOSTALNA LIBERALNA STRANKA,35,"0,40%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,33,"0,38%"
,123. JEDINSTVENA GORANSKA PARTIJA,06,"0,07%"
,124. KOALICIJA VAKAT,68,"0,78%"
,125. FJALA,13,"0,15%"
,126. LËVIZJA VETËVENDOSJE!,448,"5,11%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,20,"0,23%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,02,"0,02%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,00,"0,00%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,03,"0,03%"
,132. ESMIR KASI,02,"0,02%"
,133. GRAÐANSKA İNİCİJATİVA GORE,11,"0,13%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,248,"2,83%"
,135. SRPSKA LISTA,7.117,"81,22%"
