,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,45,"0,38%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,2.151,"18,26%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,59,"0,50%"
,114. STRANKA DEMOKRATSKE AKCIJE,20,"0,17%"
,115. PARTIJA KOSOVSKIH SRBA,06,"0,05%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,30,"0,25%"
,117. POKRET ZA GORA,03,"0,03%"
,118. NOVA DEMOKRATSKA STRANKA,11,"0,09%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,2.235,"18,98%"
,120. SLOBODA,03,"0,03%"
,121. SAMOSTALNA LIBERALNA STRANKA,155,"1,32%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,291,"2,47%"
,123. JEDINSTVENA GORANSKA PARTIJA,02,"0,02%"
,124. KOALICIJA VAKAT,04,"0,03%"
,125. FJALA,39,"0,33%"
,126. LËVIZJA VETËVENDOSJE!,2.947,"25,02%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,02,"0,02%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,12,"0,10%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,12,"0,10%"
,130. KOSOVAKI NEVI ROMANI PARTIA,01,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,00,"0,00%"
,132. ESMIR KASI,02,"0,02%"
,133. GRAÐANSKA İNİCİJATİVA GORE,08,"0,07%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,2.494,"21,18%"
,135. SRPSKA LISTA,1.245,"10,57%"
