,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,01,"0,05%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,00,"0,00%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,02,"0,09%"
,114. STRANKA DEMOKRATSKE AKCIJE,00,"0,00%"
,115. PARTIJA KOSOVSKIH SRBA,03,"0,14%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,00,"0,00%"
,117. POKRET ZA GORA,00,"0,00%"
,118. NOVA DEMOKRATSKA STRANKA,00,"0,00%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,01,"0,05%"
,120. SLOBODA,21,"1,00%"
,121. SAMOSTALNA LIBERALNA STRANKA,104,"4,93%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,00,"0,00%"
,123. JEDINSTVENA GORANSKA PARTIJA,00,"0,00%"
,124. KOALICIJA VAKAT,01,"0,05%"
,125. FJALA,00,"0,00%"
,126. LËVIZJA VETËVENDOSJE!,05,"0,24%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,03,"0,14%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,00,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,00,"0,00%"
,130. KOSOVAKI NEVI ROMANI PARTIA,01,"0,05%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,01,"0,05%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,00,"0,00%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,02,"0,09%"
,135. SRPSKA LISTA,1.963,"93,12%"
