,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,194,"0,53%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,6.734,"18,29%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,152,"0,41%"
,114. STRANKA DEMOKRATSKE AKCIJE,22,"0,06%"
,115. PARTIJA KOSOVSKIH SRBA,08,"0,02%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,131,"0,36%"
,117. POKRET ZA GORA,24,"0,07%"
,118. NOVA DEMOKRATSKA STRANKA,32,"0,09%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,1.683,"4,57%"
,120. SLOBODA,05,"0,01%"
,121. SAMOSTALNA LIBERALNA STRANKA,02,"0,01%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,638,"1,73%"
,123. JEDINSTVENA GORANSKA PARTIJA,01,"0,00%"
,124. KOALICIJA VAKAT,29,"0,08%"
,125. FJALA,139,"0,38%"
,126. LËVIZJA VETËVENDOSJE!,12.747,"34,62%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,12,"0,03%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,04,"0,01%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,16,"0,04%"
,130. KOSOVAKI NEVI ROMANI PARTIA,01,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,06,"0,02%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,26,"0,07%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,14.192,"38,54%"
,135. SRPSKA LISTA,23,"0,06%"
