,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,149,"0,15%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,15.456,"15,46%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,92,"0,09%"
,114. STRANKA DEMOKRATSKE AKCIJE,34,"0,03%"
,115. PARTIJA KOSOVSKIH SRBA,23,"0,02%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,100,"0,10%"
,117. POKRET ZA GORA,17,"0,02%"
,118. NOVA DEMOKRATSKA STRANKA,74,"0,07%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,7.617,"7,62%"
,120. SLOBODA,124,"0,12%"
,121. SAMOSTALNA LIBERALNA STRANKA,64,"0,06%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,4.767,"4,77%"
,123. JEDINSTVENA GORANSKA PARTIJA,25,"0,03%"
,124. KOALICIJA VAKAT,108,"0,11%"
,125. FJALA,351,"0,35%"
,126. LËVIZJA VETËVENDOSJE!,37.229,"37,24%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,606,"0,61%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,11,"0,01%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,173,"0,17%"
,130. KOSOVAKI NEVI ROMANI PARTIA,02,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,10,"0,01%"
,132. ESMIR KASI,10,"0,01%"
,133. GRAÐANSKA İNİCİJATİVA GORE,75,"0,08%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,32.497,"32,50%"
,135. SRPSKA LISTA,366,"0,37%"
