,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,01,"0,04%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,10,"0,36%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,01,"0,04%"
,114. STRANKA DEMOKRATSKE AKCIJE,02,"0,07%"
,115. PARTIJA KOSOVSKIH SRBA,05,"0,18%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,00,"0,00%"
,117. POKRET ZA GORA,00,"0,00%"
,118. NOVA DEMOKRATSKA STRANKA,00,"0,00%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,10,"0,36%"
,120. SLOBODA,26,"0,95%"
,121. SAMOSTALNA LIBERALNA STRANKA,127,"4,62%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,07,"0,25%"
,123. JEDINSTVENA GORANSKA PARTIJA,00,"0,00%"
,124. KOALICIJA VAKAT,00,"0,00%"
,125. FJALA,04,"0,15%"
,126. LËVIZJA VETËVENDOSJE!,07,"0,25%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,00,"0,00%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,00,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,00,"0,00%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,02,"0,07%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,00,"0,00%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,11,"0,40%"
,135. SRPSKA LISTA,2.536,"92,25%"
