,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,65,"0,54%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,4.014,"33,36%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,244,"2,03%"
,114. STRANKA DEMOKRATSKE AKCIJE,02,"0,02%"
,115. PARTIJA KOSOVSKIH SRBA,03,"0,02%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,97,"0,81%"
,117. POKRET ZA GORA,00,"0,00%"
,118. NOVA DEMOKRATSKA STRANKA,01,"0,01%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,477,"3,96%"
,120. SLOBODA,02,"0,02%"
,121. SAMOSTALNA LIBERALNA STRANKA,04,"0,03%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,963,"8,00%"
,123. JEDINSTVENA GORANSKA PARTIJA,08,"0,07%"
,124. KOALICIJA VAKAT,02,"0,02%"
,125. FJALA,41,"0,34%"
,126. LËVIZJA VETËVENDOSJE!,3.306,"27,48%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,03,"0,02%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,15,"0,12%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,09,"0,07%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,00,"0,00%"
,132. ESMIR KASI,03,"0,02%"
,133. GRAÐANSKA İNİCİJATİVA GORE,08,"0,07%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,2.759,"22,93%"
,135. SRPSKA LISTA,05,"0,04%"
