,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,61,"0,38%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,12.196,"76,22%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,06,"0,04%"
,114. STRANKA DEMOKRATSKE AKCIJE,00,"0,00%"
,115. PARTIJA KOSOVSKIH SRBA,01,"0,01%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,07,"0,04%"
,117. POKRET ZA GORA,00,"0,00%"
,118. NOVA DEMOKRATSKA STRANKA,06,"0,04%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,449,"2,81%"
,120. SLOBODA,05,"0,03%"
,121. SAMOSTALNA LIBERALNA STRANKA,03,"0,02%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1.025,"6,41%"
,123. JEDINSTVENA GORANSKA PARTIJA,01,"0,01%"
,124. KOALICIJA VAKAT,01,"0,01%"
,125. FJALA,120,"0,75%"
,126. LËVIZJA VETËVENDOSJE!,1.215,"7,59%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,05,"0,03%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,00,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,65,"0,41%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,02,"0,01%"
,132. ESMIR KASI,00,"0,00%"
,133. GRAÐANSKA İNİCİJATİVA GORE,00,"0,00%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,707,"4,42%"
,135. SRPSKA LISTA,126,"0,79%"
