,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,30,"0,15%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,3.599,"18,51%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,17,"0,09%"
,114. STRANKA DEMOKRATSKE AKCIJE,11,"0,06%"
,115. PARTIJA KOSOVSKIH SRBA,02,"0,01%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,16,"0,08%"
,117. POKRET ZA GORA,03,"0,02%"
,118. NOVA DEMOKRATSKA STRANKA,04,"0,02%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,1.550,"7,97%"
,120. SLOBODA,03,"0,02%"
,121. SAMOSTALNA LIBERALNA STRANKA,06,"0,03%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,812,"4,18%"
,123. JEDINSTVENA GORANSKA PARTIJA,02,"0,01%"
,124. KOALICIJA VAKAT,11,"0,06%"
,125. FJALA,55,"0,28%"
,126. LËVIZJA VETËVENDOSJE!,6.050,"31,11%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,09,"0,05%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,02,"0,01%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,20,"0,10%"
,130. KOSOVAKI NEVI ROMANI PARTIA,01,"0,01%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,04,"0,02%"
,132. ESMIR KASI,02,"0,01%"
,133. GRAÐANSKA İNİCİJATİVA GORE,13,"0,07%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,6.632,"34,10%"
,135. SRPSKA LISTA,592,"3,04%"
