,Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme
,111. PARTIA LIBERALE EGJIPTIANE,11,"0,23%"
,112. PARTIA DEMOKRATIKE E KOSOVËS,260,"5,51%"
,113. PARTIA E ASHKALINJËVE PËR INTEGRIM,02,"0,04%"
,114. STRANKA DEMOKRATSKE AKCIJE,01,"0,02%"
,115. PARTIJA KOSOVSKIH SRBA,09,"0,19%"
,116. PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,01,"0,02%"
,117. POKRET ZA GORA,00,"0,00%"
,118. NOVA DEMOKRATSKA STRANKA,00,"0,00%"
,119. AAK-PSD KOALICIONI 100% KOSOVË,215,"4,56%"
,120. SLOBODA,02,"0,04%"
,121. SAMOSTALNA LIBERALNA STRANKA,75,"1,59%"
,122. NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,121,"2,57%"
,123. JEDINSTVENA GORANSKA PARTIJA,02,"0,04%"
,124. KOALICIJA VAKAT,00,"0,00%"
,125. FJALA,06,"0,13%"
,126. LËVIZJA VETËVENDOSJE!,513,"10,88%"
,127. KOSOVA DEMOKRATIK TÜRK PARTISI,00,"0,00%"
,128. PARTIA ROME E BASHKUAR E KOSOVËS,00,"0,00%"
,129. PARTIA EUROATLANTIKE E KOSOVËS,13,"0,28%"
,130. KOSOVAKI NEVI ROMANI PARTIA,00,"0,00%"
,131. INICIATIVA E RE DEMOKRATIKE E KOSOVËS,00,"0,00%"
,132. ESMIR KASI,01,"0,02%"
,133. GRAÐANSKA İNİCİJATİVA GORE,06,"0,13%"
,134. LIDHJA DEMOKRATIKE E KOSOVËS,546,"11,58%"
,135. SRPSKA LISTA,2.931,"62,16%"
