party_long,party_short,votes,percentage,year,color
LËVIZJA VETËVENDOSJE!,LVV,200953,25.51,2019,#e31a1c
LIDHJA DEMOKRATIKE E KOSOVËS,LDK,195534,24.82,2019,#a6cee3
PARTIA DEMOKRATIKE E KOSOVËS,PDK,167402,21.25,2019,#1f78b4
AAK-PSD KOALICIONI 100% KOSOVË,AAK-PSD,90839,11.53,2019,#fb9a99
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,NISMA-AKR-PD,38639,4.90,2019,#33a02c
LËVIZJA VETËVENDOSJE!,LVV,123258,27.49,2017,#e31a1c
LIDHJA DEMOKRATIKE E KOSOVËS,LDK,148684,25.53,2017,#a6cee3
PARTIA DEMOKRATIKE E KOSOVËS,PDK,135577,33.74,2017,#1f78b4
AAK-PSD KOALICIONI 100% KOSOVË,AAK-PSD,164897,33.74,2017,#fb9a99
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,NISMA-AKR-PD,51222,33.74,2017,#33a02c
