party_long,party_short,seats,percentage,year,color
LËVIZJA VETËVENDOSJE!,LVV,31,25.51,2019,#e31a1c
LIDHJA DEMOKRATIKE E KOSOVËS,LDK,30,24.82,2019,#a6cee3
PARTIA DEMOKRATIKE E KOSOVËS,PDK,25,21.25,2019,#1f78b4
AAK-PSD KOALICIONI 100% KOSOVË,AAK-PSD,14,11.53,2019,#fb9a99
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,NISMA-AKR-PD,0,4.90,2019,#542B79
LËVIZJA VETËVENDOSJE!,LVV,19,27.49,2017,#e31a1c
LIDHJA DEMOKRATIKE E KOSOVËS,LDK,24,25.53,2017,#a6cee3
PARTIA DEMOKRATIKE E KOSOVËS,PDK,23,33.74,2017,#1f78b4
AAK-PSD KOALICIONI 100% KOSOVË,AAK-PSD,23,33.74,2017,#fb9a99
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,NISMA-AKR-PD,8,33.74,2017,#542B79
